Title,URL,Address,Compensation,Employment Type,Description
Class 2 Expeditor,https://newyork.craigslist.org/mnh/egr/d/new-york-city-class-2-expeditor/6967499998.html,Downtown NYC,Based on experience,full-time,"
        
Seeking class 2 licensed expeditor. Established firm, great location. Responsible, punctual, and effective. Salary negotiable based on experience.    "
Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/6967512467.html,"Jamaica, Queens",Commensurate with Experience,full-time,"
        
Mssa, a Small Successful 9-Person Architectural studio based in Queens is seeking Project Architect(s). Our projects include single-family residential, multifamily, and mixed-use hospitality projects. The studio offers an opportunity to be involved in all phases of the urban built environment from Design Development, Construction Documents, Consultant Coordination and City Approvals to Project Close up. The candidate shall be willing to work on a whole range of projects from small extensions to multifamily and hospitality.

Requirements
• BS or 5-year Professional degree in Architecture
• Minimum 3 years US experience in an architecture office
• Proven ability to produce Construction Documents
• Working knowledge of NYC code and zoning regulations
• Familiarity with DOB procedures a plus
• Site visits and requisition review
• Check submittals and respond to requests for information
• Fluent with Autocad Architecture 2017/18
• Revit 2017 Experience a plus
• Strong work ethic 
• Fluent English 

Please submit your resume including work samples with a particular emphasis on construction documents.
    "
ECB/Vioaltion and Demolitions expediter,https://newyork.craigslist.org/brk/egr/d/brooklyn-ecb-vioaltion-and-demolitions/6967556941.html,brooklyn,Let me know how much you would like and show me what you can do.  VIOLATIONS AND DEMOS lets roll!,employee's choice,"
        
Hello, I have a small/midish size office and looking to add to the team. I need an expediter who HAS KNOWLEDGE AND EXPERIENCE with ECB/FDNY/DOT violations.   You need to be able to work independently to make your own Certificate of corrections and attend court.  You will be responsible to follow up and organize your violations.  You have to be able to argue violations based on issuance and merit in court. 

The second part of your job is Demolitions.  I need you to deal with Demolitions including cutoffs, ordering pest control, submit plans to Best, organizing with the Engineer of record.  And occasionally dealing with Best regarding Stop work Orders. 

If you want to work and know how to work our team is looking for someone.  Please contact me. Position is only for work described above. All other positions are filled I need violations and Demolitions. I am not willing to teach I need someone who can handle the work.   We have the best laid back and fun office in the industry but you need to come in knowing this work I will not train but I will guide and offer full support staff. PART TIME CAN work as well. 

    "
Carpet & Flooring Sales/Estimator,https://newyork.craigslist.org/lgi/egr/d/roslyn-heights-carpet-flooring-sales/6967824079.html,Roslyn Heights,Based on Experience,full-time,"
        
Established Flooring Company located in long island is currently seeking a full-time Carpet & Flooring Sales/Estimator with a construction background.    "
GC Construction Assistant Project Manager,https://newyork.craigslist.org/que/egr/d/queens-village-gc-construction/6968064520.html,Queens Village,$21.00 per hour,full-time,"
        
A Queens Village-based mid-size General Contracting & Construction company specializing in remodeling residential homes is currently seeking a full-time Assistant Project Manager (APM) with experience in residential projects. The APM will work closely with a Project Manager handling anywhere from 3 to 5 projects at a given time. The APM should have high energy, demonstrate enthusiasm, sensible to time constraints and the ability to work with demanding architects and clients.

Job responsibilities include, but are not limited to:
-Attending weekly site meetings
-Creating meeting minutes, daily logs, change orders, and requisitions
-Coordinating client/architect meetings
-Assisting PM to fall within project schedule and budget
-Handling all RFIs and RFPs, submittals, and shop drawings
-Handling project closeouts and punch list items
-Processing paperwork for the NYC Dept. of Buildings 
-Strong written/verbal skills

At least 2-3 years of experience. Knowledge in MS Projects, Word, Excel, and Outlook a must. Ability to read architectural plans also a must. Driver's license a plus. This position is an immediate start.
    "
Facade / Building Envelope Structural Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6968185342.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled structural engineer with 5 to 6 years of building envelope restoration experience if licensed, and 7 to 10 years' experience if not licensed, to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Facade / Building Envelope Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6968187363.html,TriBeCa,Commensurate with experience,full-time,"
        
 
 , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled architect with 2 to 5 years of building envelope restoration experience to join us in executing a growing slate of challenging projects. 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. 

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. 

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. 

We offer an array of benefits and growth opportunities: :


Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. 

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. 

With thanks for your interest, please note that only those candidates under consideration will be contacted. 

For additional information on our firm’s services, approach, and projects, visit 
    "
Architect CAD Drafting,https://newyork.craigslist.org/que/egr/d/architect-cad-drafting/6968226007.html,Maspeth,Based on experience,full-time,"
        
Busy Queens Architectural firm [www.ArchitectsStudioNY.com] seeking an Intermediate CAD Draftsperson with project mgmt duties for new mid-rise Residential/Commercial base buildings, alterations and Interior Renovation projects. 

The  individual will work directly with the Principal Architect to manage and administer each phase of the project, and coordinate incoming and outgoing information on a day-to day basis. 

Qualifications:
-Knowledge in Construction Details
-Knowledge of NYC Building Codes, NYC Zoning Ordinances
-Full engagement of projects
-Knowledge of NYC Zoning Resolution, NYC Building Codes, ADA Regulations
-Able to work under pressure to meet deadlines
-Primarily an office-based position but some travel required for project meeting and other related duties
-Proficient drafting skills using AutoCAD, including layer management
-Minimum 3 years of construction technical work experience 


Ideal candidates are those looking for growth through long-term employment and must be able to work overtime when required. Company offers health insurance benefits and 401K participation opportunity.  

Email cover letter  and resume [in pdf format] with desired compensation to us with confidence. Any other format will not be viewed.  Please indicate CAD under subject line on email.

    "
BOOKKEEPER,https://newyork.craigslist.org/lgi/egr/d/melville-bookkeeper/6969065658.html,MELVILLE,Salary,full-time,"
        
General Contracting firm is looking or a full time bookkeeper. Candidates need to have a basic knowledge of accounting and quickbooks. Bachelor's degree is a plus, 3 years experience preferably in the construction industry.
To apply please send your resume and requirements.


    "
Intern Mechanical Engineer,https://newyork.craigslist.org/brk/egr/d/brooklyn-intern-mechanical-engineer/6969330022.html,"Brooklyn, NY",Market,part-time,"
        
Opentrons makes robots for biologists. Currently, over 90% of biologists in the world run experiments with manual pipettes, moving tiny amounts of liquid from vial to vial by hand. By making robotics affordable and open, we can help all life-scientists easily execute and share their experiments. Opentrons’ robotics are in use in over 40 countries around the world and have been adopted by top-tier institutions like Stanford, Harvard, Merck, and Roche. 

We’re interested in candidates who are working toward a BA/BS in mechanical engineering with background/experience in  the following:
•	Prototyping processes : 3D printing, Laser cut
•	Design for production methods
•	SolidWorks
•	Passionate about products
    "
EXPERIENCED ARCHITECT/ DRAFTER,https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/6969375572.html,QUEENS,BASED ON EXPERIENCE,full-time,"
        
LOOKING TO HIRE EXPERIENCED ARCHITECT/ DRAFTER MUST KNOW AND BE ABLE TO DO NYC  ZONING CALCULATIONS,  CODES REVIEW  AND PLAN REQUIREMENTS FOR DOB SUBMITTAL FAMILIAR WITH  DOB PAPERWORK. CLASS TWO DOB ID IS A PLUS. 

REQUIREMENTS:
- Must have 5-year Bachelor of Architecture degree and minimum 3 years working experience in single family residential design and mixed-use buildings 
- Must have knowledge of NYC zoning and building codes
- Must be able to develop design concepts into a full set of construction drawings independently
- Must be a very organized team player with excellent communication skills. Must feel comfortable/confident to be the liaison between office, clients, contractors and consultants
- Strong AutoCad skills 
- Must be able to manage multiple projects EMAIL YOUR RESUME.    "
Architect/Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/6969829364.html,New York,Compensation commensurate with experience,full-time,"
        
We are an established and awarded small architectural firm located in Manhattan. Our projects cover public buildings and educational facilities. We are looking to hire talented individuals who have the potential and ambition for growth towards positions in office leadership.
Our office organization enables staff members a hands-on experience. Working on multiple projects and different phases of work, including design, construction documents and job administration. Our transparent office environment provides exposure to all aspects of the practice.
Qualifications:
•	Be a US citizen or be permitted to work in the USA
•	Professional degree in Architecture
•	Skill in Autocad and presentation software. Revit capability a plus.
•	USA experience in design, detailing and construction administration.
•	Verbal and writing abilities.
Work description:
•	Participate in the design and production of multiple projects at all design and project administration phases.
•	Attend site meetings and prepare minutes. Observe and document progress and quality of construction work.
•	Communicate with in-house staff, consultants and clients.
•	Demonstrate skill in the use of drafting and presentation software.

We offer competitive salaries, health coverage and profit sharing.
Interested candidates should email a cover letter, resume, work samples and requested compensation in PDF format.
    "
Jr Architect / Draftsman,https://newyork.craigslist.org/mnh/egr/d/new-york-jr-architect-draftsman/6969750147.html,,Commensurate with Experience,contract,"
        
Design and construction management company in midtown Manhattan is seeking an individual with the following qualifications:

-  Seven to ten (7-10) years NYC experience in architectural design and drafting
-  Bachelor's of Architecture degree from accredited university
-  Understanding of NYC construction and zoning codes 
-  Experience in latest version of Auto-CAD and related programs
-  Fluency in English - written and spoken
-  Promptness in delivering assigned work/projects
-  US citizen or documented legal resident
    "
Construction Project Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/6969878694.html,Brooklyn,TBD,full-time,"
        

Prepare complete and detailed scopes of work for construction trades.

Perform quantity take-offs with accuracy and completeness.
Solicit budgets and bids from subcontractors and suppliers in a timely fashion
Resolves cost discrepancies by collecting and analyzing information.
Prepares special reports by collecting, analyzing, and summarizing information and trends.
Monitor project costs and schedule
Monitor site supers and attend meetings

At least 4 years industry experience minimum

Please email resume with expected salary

Also looking for Estimators and Assistant Project managers/site supers    "
Architectural Metal Drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-metal-drafter/6970329938.html,Brooklyn,Compensation: TBD on Experience and Position,full-time,"
        
Our company designs and fabricates architectural metal for a variety of jobs. We are looking for experienced and motivated people to begin work immediately here at Phoenix Metal Designs.

We are looking to hire a talented Architectural Drafter with a minimum of 5-years experience for a full-time position.

An ideal candidate can perform the following tasks:

Analyze building codes, by-laws, space, site requirements, technical documents and reports to determine their effect on architectural designs.

Check dimensions of materials to be used and assign numbers to lists of materials.

Have proficiency in AutoCad and AutoDesk Inventor.

Make accurate shop drawings to be used for in-house fabrication.

Work well and coordinate with floor manager to oversee proper fabrication of materials.

Communicate with team members and clients throughout development of projects.

Note: Day to day projects may vary widely: flexibility and the ability to adapt quickly are required.

Regular job hours are 7:00 AM - 4:00 PM Monday through Friday.

Work will be required both in shop and in the field.

Compensation: TBD on Experience and Position
Employment Type: Full-time    "
CAD DRAWING /DESIGN /SALES,https://newyork.craigslist.org/brk/egr/d/brooklyn-cad-drawing-design-sales/6970382326.html,BROOKLYN,Pay according to experience.,full-time,"
        
CAD DRAWING  STORE DESIGNER / SALES PERSON needed.

Come join one of the largest store fixture companies on the east coast.

Use your CAD skills to design store floorplans and custom display furniture for large retail companies.

We design pharmacies, jewelry stores, supermarkets, cigar stores, eye glass stores, and much more.

We are manufactures and make all of the  custom wood display furniture ourselves. Our factory is 100,000 square ft. in size.

We also manufacture metal shelving systems (gondola shelving) and glass cases in high volume which is very attractive to major retailers.

Use your CAD skills and personality to help customers and companies design their dream store. 

We are looking for a mature person willing to go the extra mile and satisfy our customers needs.

This is an excellent chance to use your CAD skills and join a great organization.

Send us your resume today to get an interview. Our office is located in Brooklyn, NY.

 


    "
Draftsperson Detailer,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6970384489.html,Long Island City,tbd,full-time,"
        
Store/events Display props and wood cabinetry manufacturing company seeking motivated and responsible individual to fill the position of Draftsperson Detailer. Must be experienced with the process of producing client drawings and production drawings.


Must be experienced and proficient in 3D rendering.

Experience in creating CNC files required. 


Must also be skilled with drafting decorative patterns, intricate millwork
and heavily sculpted three dimensional elements for production. 



Candidate must be familiar with materials such as solid wood, plywood,
plastic, metal fabrication and veneer work. 


Must submit portfolio with application, no candidate without portfolio will be considered!



Hours are Monday through Friday 8:30 AM - 5:30 PM and must be available for overtime, working until 8:30 PM and weekends at times.
•	Principals only. Recruiters, please don't contact this job poster.
•	do NOT contact us with unsolicited services or offers



    "
Plumbing/Fire Protection Engineer,https://newyork.craigslist.org/wch/egr/d/white-plains-plumbing-fire-protection/6970392823.html,White Plains,Commensurate with Experience,full-time,"
        
Progressive engineering firm looking for Plumbing/Fire Protection Engineer (Entry level to 10 years experience).  

We are a full service engineering firm specializing in mechanical, electrical, telecommunications, plumbing and fire protection engineering design services. 

Our diverse projects are spread across all market sectors. (Corporate, Financial, Retail, Educational, Medical, Hotels, Data Centers, Industrial, etc.)

Office is located in White Plains, NY, close to Metro North train station and we also have free parking for all employees.

Requirements: 
AutoCad experience is a plus.
Bachelor’s degree in Mechanical Engineering preferred. 
Entry level to 10 years’ experience designing plumbing and fire protection systems preferred.  
Strong working knowledge of building, plumbing, and fire codes 
Our company offers salary commensurate with experience, a comprehensive benefits package which includes         medical, disability and life insurances, 401k plan, and PTO.    "
Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/6970738763.html,Manhattan,Competitive salary and benefits,full-time,"
        
We are looking for a project manager to supervise electrical subcontractors during the construction phase of the project and manage site documentation for the client. Candidate with OSHA 30 training is a plus.    "
Sales & Design Coordinator,https://newyork.craigslist.org/mnh/egr/d/new-york-city-sales-design-coordinator/6971069363.html,Chelsea,"This role offers a competitive salary in addition to inclusion in the company’s profit sharing, 401K, medical, and dental programs.",full-time,"
        
Amuneal Manufacturing Corp. has an immediate opening in our New York Showroom for a Sales & Design Coordinator.  This role will focus on our luxury furniture and architectural product offerings. This role is primarily responsible for customer support and collaboration with our Sales + Design team.  

Confidence, a clean design aesthetic, the ability to spark interest in others, direct customer interaction and experience in the selling of high-end designed products are a must. Candidates must have the ability to organize their own time, multitask in a dynamic environment, be proactive, and above all else…problem solve. We are looking for someone who is eager to connect with people and translate their needs into timeless experiences and products. To be successful, candidates must have a strong interest in the creation of high-end products. Candidates must be looking for a role where they are part of a collaborative environment and able to make an impact on the organization each day.








Please submit both resume and cover letter for consideration.


    "
Drafter,https://newyork.craigslist.org/que/egr/d/brooklyn-drafter/6971413917.html,Ridgewood,TBD,full-time,"
        
Construction company specializing in Exterior Restoration will hire a draftsman. Knowledge of Autocad necessary.    "
Intermediate Architect,https://newyork.craigslist.org/brk/egr/d/brooklyn-intermediate-architect/6971488218.html,"Brooklyn, NY",Commensurate with Experience,full-time,"
        
About AMP Architecture PLLC:
AMP Architecture prides itself on providing a full-service client experience. All projects, big and small, receive the same amount of expertise and attention. We believe in providing a complete architecture service: from consulting, to design, estimating and, finally, construction.

The staff at AMP Architecture is diverse in design, engineering, estimating and construction. Each of our team members bring individualized expertise within their respective backgrounds, creating an inclusive environment breeding excellence in design and construction.

Job Responsibilities:
- Drafting 1-4 family wood framed residential homes based off initial measurements and photos.
- Completing and filing Department of Building alteration type 1,2 and 3 applications.
- Assisting architects and engineers on site visits to measure and draft new projects.
- Complete site visit reports with photo documentation.
- Daily correspondence with team to provide updates on status of all current projects.

Qualifications:
- 4-5 year BA in Architecture from a NAAB accredited architecture program required.
- 1-2 years experience in residential wood framed construction.
- Experience with filing applications with NYC DOB.
- Proficiency with AutoCAD.
- Strong computer skills.
- Organized and able to multi-task.

- Construction Management experience preferred.    "
Structural Engineer,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6971682911.html,"Queens, NY",The salary is based on level of experience.,full-time,"
        
Job Description:

We are currently seeking structural engineers at multiple levels to join our team. As a structural engineer, you will work with other team members in our highly collaborative environment to assure that designs are developed in accordance with appropriate codes and standards, quality control objectives are achieved, and project goals are met within the schedule and budget. This is an outstanding opportunity for a structural engineer to work on a variety of high-profile projects throughout the region. 

Duties and Responsibilities:

- Coordinate with architects, contractors, owners, and other engineers from the initial planning stages through final construction.
- Determine design criteria using relevant codes and standards.
- Analyze and/or prepare models and calculations for various structural elements and systems by using various software and/or hand calculations.
- Develop contract documents, including construction drawings and technical specifications
- Produce schematic and detailed designs and evaluation of planning and concept alternatives
- Review shop drawings, RFI's.
- Perform field inspections and write inspection reports.

Skills and Qualifications:

- Familiar with latest version of AutoCAD, Revit, ETABS, SAP2000, SAFE, RAM, Excel.
- Excellent verbal and written communication skills
- Ability to effectively work independently and collaboratively in a team environment
- Must be eligible to work in the United States

Entry Level Candidates:
- Bachelor’s degree in Civil or Structural Engineering.

Intermediate Level Candidates:
- Master’s degree in Civil or Structural Engineering.
- 3+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.

Advance Level Candidates:
- Master’s degree in Civil or Structural Engineering.
- 8+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.
- NYS PE License



    "
Architectural Studio Assistant - entry level,https://newyork.craigslist.org/mnh/egr/d/architectural-studio-assistant-entry/6971847783.html,Chelsea,to be discussed,full-time,"
        
Perfect introduction to work in Architect's office for a recent grad or as a follow up to a summer internship!
Previous experience is not a requirement, just motivation to assist in a busy office and learn the rhythms of day-to-day practice.

We are a 10-ish person firm located in Chelsea, doing interesting design work for projects of all scales in nyc from New Buildings to polished interior renovations.

The position is full time and duties generally include:
-assisting architects
-managing the materials library
-material and product research
-managing images/assembling porfolio presentations
-maintaining website and other media
-light drafting
-general studio organization
-printing and reproduction
-office oversight of phones, messengers, ordering supplies etc.

Skillset should include:
-basic photoshop 
-basic autocad for printing and light drafting
-microsoft office suite


We hope to cultivate young architects and there are opportunities for growth for motivated candidates.
Please forward resume / letter / a few work examples.

    "
Junior-Intermediate Architect,https://newyork.craigslist.org/wch/egr/d/junior-intermediate-architect/6971864524.html,Dobbs Ferry,$25-40 per hour depending on experience,part-time,"
        
Steven Secon Architect, a small diversified practice, is offering a part time position of approx  25-45 hours per week. MUST be proficient in Cad, sketchup, field measuring and have car. 2 year min. experience.  Bachelor of Architecture degree preferred. 

Sense of humor and ability to juggle several projects is essential.  Flexible schedule, strong opportunity to take on increasing responsibility, interesting variety of projects. Please send resume/samples. 30 minute cad-proficiency test given at interview.    "
Architect / Project Management,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-project-management/6971941892.html,Union Square,Base compensation of 75-95K,full-time,"
        
Are you an Architect located in commuting distance of  New York City with hands on Revit experience? 

This is a strategic career opportunity allows you to work on world-class projects with the New York office of a highly recognized architecture and design firm.  

General Overview: 
Must currently reside within commuting distance of New York City.
Must have working experience with New York building codes and zoning requirements.
Manage projects and teams. 
Produce and coordinate DD and CD sets. 
Client coordination. 
Coordination with vendors and trades.  
Qualified candidates will possess a professional degree in Architecture from an accredited university.  

Resume and digital portfolio including professional Revit work samples are required for consideration. 
All communication is held in strict confidence.    "
Landscape Designer / Draftsperson,https://newyork.craigslist.org/lgi/egr/d/landscape-designer-draftsperson/6971955171.html,miller place,tbd,part-time,"
        
Landscape Designer/ Assistant to Principal /Drafts Person (Miller Place).  Landscape Design/Build/Furnish Firm currently seeking a qualified individual with experience in Auto Cad, SketchUp or other rendering software, Microsoft Office and Photoshop. Position available for a mature, disciplined, self motivated, honest, hard working, and committed individual.
Part time independent contracting position. Flexible hours, office and field work. Competitive pay. Comfortable office setting with ability to work from home, working on exciting high-end residential landscape design / build projects. 
Candidate must own their own Auto-Cad program, Lap-top and transportation. Candidate will be involved in design, construction details, estimating, field supervision and drafting. 
Please send resume and cover letter. No resumes with residency outside of Suffolk County, NY will be considered. Please have the experience and examples of design work before applying.
    "
"Furniture, Fixtures & Equipment Designer",https://newyork.craigslist.org/mnh/egr/d/new-york-furniture-fixtures-equipment/6972128493.html,"New York, NY",To Be Discussed,full-time,"
        
Luxury focused, international interior design firm founded in London seeks focused, resourceful and passionate mid-level FF&E designer to work closely with a team of interior designers and FF&E specialists on multiple projects in their growing New York office. 

Confident, discriminating and with the ability to innovate the successful candidate for this role will possess excellent communication skills and the important ability to balance playfulness with luxury.  This role presents a wonderful opportunity to work for one of the most highly respected designers in the world on some of the most exclusive and eclectic projects anywhere.


Key Responsibilities:

-Be strategic and highlight important issues throughout the project phases whilst maintaining a dedication to great design

-Generate control books and schedules for a wide range of items from soft home, moveable furniture and lighting to finishes, architectural accessories, hardware, decorative and fine art.

-Manage several projects concurrently maintaining a calm focus and an atmosphere of productivity and accuracy even under pressure

-Coordinate and maintain close relationships with all FF&E purchasing agents from research to procurement and installation

-Create design concepts, presentations, resource images and draw highly detailed and complex custom furniture  

-Source a variety of unusual and custom products and samples from vendors to assist in developing unique material solutions, ironmongery, lighting and sanitary wear products
 


Skills and Experience:

-A minimum of 3 years experience in a design position and a professional degree in interior design or furniture/industrial design

-Be adaptable, creative, characterful, organized and passionate

-A high level of comfort and experience making FF&E designs and using control books

-A professional and warm demeanor and proficiency in delivering clear neat design presentations

-Have the aptitude to work both autonomously and in teams

-Demonstrate a high degree of experience with AutoCAD, Adobe Creative Suite and hand sketching


From residences to restaurants, private members clubs and important global hotels this opportunity offers scope for great variety. With projects all over the world and an amazing reputation for exuberant and luxurious design this is an exciting opportunity to join a diverse and renowned team.  This opportunity for a discerning, thorough and multifaceted creative professional is a rare opportunity to be involved in the creation of many wonderful and celebrated projects.  Great salary and benefits for the successful candidate.    "
Young Firm is seeking Jr. Architect – Upper East Side,https://newyork.craigslist.org/mnh/egr/d/new-york-young-firm-is-seeking-jr/6972402118.html,Upper East Side,Negotiable,full-time,"
        
Our Boutique firm specializes in luxury residential projects and small commercial projects. The individual selected will have the opportunity to be involved with project work on multiple building types and will work closely with our Senior Design team and Project Managers to understand and deliver on client needs. We are looking for candidates with a passion for their field and a can-do attitude, 2 to 5 years of professional architecture experience, and knowledge of sustainable building practices
Benefits Package:
Medical and Dental 90% Employer contribution, Paid Time Off, Aflac
401 K Company Match 

ESSENTIAL FUNCTIONS
•	Collaborate and contribute within a multi-discipline environment
•	Integrate architecture and engineering elements into an integrated design through the use of BIM. 
•	Preparation of contract documents and specifications
•	Occasional on-site observation of work during construction to monitor compliance with plans
•	Coordinate the arrangement of existing and proposed land features and structures
•	Select appropriate materials for use in landscape designs
•	Analyze environmental reports on land conditions, such as drainage and energy usage
•	Assist with activities engaged in preparing drawings and specification documents.
•	Conduct periodic on-site observation of work during construction to monitor compliance with plans.
•	Field surveys
•	Preparation of as-built drawings
•	Preparation of presentation drawings
•	Preparation of power point presentations
•	Preparation of construction documents
Qualifications and Skills
•	Proficiency in Revit
•	Strong and clear communication skills
•	Basic understanding of construction means and methods
•	Willingness to learn and take direction from supervisors
•	Proficiency in MS Office
    "
BOOKKEEPER,https://newyork.craigslist.org/lgi/egr/d/melville-bookkeeper/6972537186.html,MELVILLE,Salary,full-time,"
        
General Contracting firm is looking or a full time bookkeeper. Candidates need to have a basic knowledge of accounting and quickbooks. Bachelor's degree is a plus, 3 years experience preferably in the construction industry.
To apply please send your resume and requirements.


    "
Structural Steel Estimator,https://newyork.craigslist.org/que/egr/d/ozone-park-structural-steel-estimator/6972573548.html,Ozone Park,"Salary $70,000.00 annually  Paid Holiday, Sick Days and Vacation.",full-time,"
        
A Minimum of 3 years of experience in commercial construction structural steel as an estimator. Will prepare construction estimates, specification review, submit proposals, change orders, and coordinate project schedule.

• Must be able to do a takeoff from Construction Documents and shop drawings.
• Occasional travel to project sites
• Reviewing customer contracts to ensure proper scope and terms
• Managing and monitoring costs for work while maintaining or improving target margins
• Preparation of change orders/invoices/Purchase Orders. 
• Management of projects from start to finish

Applicants must have excellent communication skills, the ability to work well with others, willing to learn, and a good work ethic.



    "
Senior/intermediate Architect,https://newyork.craigslist.org/mnh/egr/d/senior-intermediate-architect/6972682127.html,Flatiron,"Salary based on experience, with generous benefit package",full-time,"
        
Meridian Design Associates, Architects, P.C. is a medium-sized award-winning and well-published New York City-based architectural firm.  Our practice is quite varied, with both new construction and renovation/interiors, including media and entertainment facilities, corporate work, multi-family residential, and high-end residential.  We are an entrepreneurial, innovative firm which places a strong emphasis on initiative and client service.  We do a substantial number of projects outside New York City, including current jobs in Florida, Connecticut, and New Jersey.
We place a heavy emphasis on computer tools and require that our professionals have strong digital production skills, including ArchiCAD, Revit, SketchUp and other graphic software.  Presentation and 3D modeling skills are very important.  Microsoft Office (Word, Excel) is a must.

We are looking for senior to intermediate staff with 4 or more years   work experience capable of doing production, building law analysis, and design and project management.

Responsibilities:
•         Intensive interaction with firm principals and teams, as well as with clients, consultants and contractors.
•         Design concepts presentations
•         Design coordination and detailing
•         Attend project meetings, take meeting notes

Requirements:
•         Degree in Architecture/Interior Design
•         4+ years of project experience in all phases of design
•         Experience in 2D/3D software, including ArchiCAD, Revit, SketchUp and other graphic software (Photoshop, InDesign). Proficiency in ArchiCAD preferred. Microsoft Office (Word, Excel) is a must.
•         Strong graphic and visualization skills to communicate design presentations
•         Strong leadership, communication, organizations skills and the ability to work on multiple projects at the same time.
•         Knowledge of materials, construction techniques, and local building codes
We provide excellent salary and benefits.
    "
Part time Architectural / Civil Engineering intern (NYC),https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-architectural-civil/6972749104.html,Manhattan/ Brooklyn,Commensurate with experience,part-time,"
        
Small Manhattan based construction inspection firm looking for an Intern, preferably an architecture or civil Engineering student/ individual to assist with writing field reports related to construction progress, primarily in Manhattan and Brooklyn. This is a freelance position ranging from 10-20 hours per week, working on construction sites and assisting in preparing progress reports. Experience working with MS office, PDF and good reading writing skills is essential. This part time position provides an invaluable opportunity to learn about architectural and structural design aspects of building construction and means and methods. Availability in the mornings is essential.
Please submit resume    "
